"Agro","Lakshmi Energy & Foods Limited   ","Lakshmi Energy & Foods Limited    "
"Agro","Excel Crop Care Limited   ","Excel Crop Care Limited    "
"Agro","Murli Industries Limited   ","Murli Industries Limited    "
"Agro","Kohinoor Foods Limited   ","Kohinoor Foods Limited    "
"Agro","Aries Agro Limited   ","Aries Agro Limited    "
"Agro","L T Foods Limited   ","L T Foods Limited    "
"Agro","AVT Natural Products Limited   ","AVT Natural Products Limited    "
"Agro","Raj Oil Mills Limited   ","Raj Oil Mills Limited    "
"Agro","ADF Foods Limited   ","ADF Foods Limited    "
"Agro","Omkar Speciality Chemicals Limited   ","Omkar Speciality Chemicals Limited    "
"Agro","Anik Industries Limited   ","Anik Industries Limited    "
"Agro","KSE Limited   ","KSE Limited    "
"Agro","Agro Dutch Industries Limited   ","Agro Dutch Industries Limited    "
"Agro","Bharat Rasayan Limited   ","Bharat Rasayan Limited    "
"Agro","IVP Limited   ","IVP Limited    "
"Agro","Pochiraju Industries Limited   ","Pochiraju Industries Limited    "
"Agro","Avanti Feeds Limited   ","Avanti Feeds Limited    "
"Agro","SKM Egg Products Export (India) Limited   ","SKM Egg Products Export (India) Limited    "
"Agro","KLRF Limited   ","KLRF Limited    "
"Agro","Sita Shree Food Products Limited   ","Sita Shree Food Products Limited    "
"Airlines","Jet Airways (India) Limited   ","Jet Airways (India) Limited    "
"Airlines","Kingfisher Airlines Limited   ","Kingfisher Airlines Limited    "
"Airlines","Global Vectra Helicorp Limited   ","Global Vectra Helicorp Limited    "
"Auto Ancillaries","Bosch Limited   ","Bosch Limited    "
"Auto Ancillaries","Exide Industries Limited   ","Exide Industries Limited    "
"Auto Ancillaries","Motherson Sumi Systems Limited   ","Motherson Sumi Systems Limited    "
"Auto Ancillaries","Amtek Auto Limited   ","Amtek Auto Limited    "
"Auto Ancillaries","SKF India Limited   ","SKF India Limited    "
"Auto Ancillaries","WABCO-TVS India Limited   ","WABCO-TVS India Limited    "
"Auto Ancillaries","Fag Bearings India Limited   ","Fag Bearings India Limited    "
"Auto Ancillaries","Amara Raja Batteries Limited   ","Amara Raja Batteries Limited    "
"Auto Ancillaries","Federal-Mogul Goetze (India) Limited   ","Federal-Mogul Goetze (India) Limited    "
"Auto Ancillaries","Timken India Limited   ","Timken India Limited    "
"Auto Ancillaries","Amtek India Limited   ","Amtek India Limited    "
"Auto Ancillaries","Automotive Axles Limited   ","Automotive Axles Limited    "
"Auto Ancillaries","Innoventive Industries Limited   ","Innoventive Industries Limited    "
"Auto Ancillaries","Sundaram Clayton Limited   ","Sundaram Clayton Limited    "
"Auto Ancillaries","Banco Products (India) Limited   ","Banco Products (India) Limited    "
"Auto Ancillaries","NRB Bearings Limited   ","NRB Bearings Limited    "
"Auto Ancillaries","Jamna Auto Industries Limited   ","Jamna Auto Industries Limited    "
"Auto Ancillaries","Steel Strips Wheels Limited   ","Steel Strips Wheels Limited    "
"Auto Ancillaries","Minda Industries Limited   ","Minda Industries Limited    "
"Auto Ancillaries","Gabriel India Limited   ","Gabriel India Limited    "
"Auto Ancillaries","Rane Holdings Limited   ","Rane Holdings Limited    "
"Auto Ancillaries","Sona Koyo Steering Systems Limited   ","Sona Koyo Steering Systems Limited    "
"Auto Ancillaries","Lumax Industries Limited   ","Lumax Industries Limited    "
"Auto Ancillaries","India Motor Parts & Accessories Limited   ","India Motor Parts & Accessories Limited    "
"Auto Ancillaries","Wheels India Limited   ","Wheels India Limited    "
"Auto Ancillaries","Suprajit Engineering Limited   ","Suprajit Engineering Limited    "
"Auto Ancillaries","Munjal Showa Limited   ","Munjal Showa Limited    "
"Auto Ancillaries","Hindustan Composites Limited   ","Hindustan Composites Limited    "
"Auto Ancillaries","Lumax Auto Technologies Limited   ","Lumax Auto Technologies Limited    "
"Auto Ancillaries","Rico Auto Industries Limited   ","Rico Auto Industries Limited    "
"Auto Ancillaries","Hi-Tech Gears Limited   ","Hi-Tech Gears Limited    "
"Auto Ancillaries","Halonix Limited   ","Halonix Limited    "
"Auto Ancillaries","India Nippon Electricals Limited   ","India Nippon Electricals Limited    "
"Auto Ancillaries","Denso India Limited   ","Denso India Limited    "
"Auto Ancillaries","Ucal Fuel Systems Limited   ","Ucal Fuel Systems Limited    "
"Auto Ancillaries","Subros Limited   ","Subros Limited    "
"Auto Ancillaries","Fiem Industries Limited   ","Fiem Industries Limited    "
"Auto Ancillaries","Pricol Limited   ","Pricol Limited    "
"Auto Ancillaries","Jay Bharat Maruti Limited   ","Jay Bharat Maruti Limited    "
"Auto Ancillaries","Autoline Industries Limited   ","Autoline Industries Limited    "
"Auto Ancillaries","Munjal Auto Industries Limited   ","Munjal Auto Industries Limited    "
"Auto Ancillaries","Rane (Madras) Limited   ","Rane (Madras) Limited    "
"Auto Ancillaries","Treadsdirect Limited   ","Treadsdirect Limited    "
"Auto Ancillaries","Rane Engine Valve Limited   ","Rane Engine Valve Limited    "
"Auto Ancillaries","Shivam Autotech Limited   ","Shivam Autotech Limited    "
"Auto Ancillaries","JMT Auto Limited   ","JMT Auto Limited    "
"Auto Ancillaries","Bimetal Bearings Limited   ","Bimetal Bearings Limited    "
"Auto Ancillaries","Clutch Auto Limited   ","Clutch Auto Limited    "
"Auto Ancillaries","Rane Brake Lining Limited   ","Rane Brake Lining Limited    "
"Auto Ancillaries","Omax Autos Limited   ","Omax Autos Limited    "
"Auto Ancillaries","Automotive Stampings & Assemblies Limited   ","Automotive Stampings & Assemblies Limited    "
"Auto Ancillaries","JBM Auto Limited   ","JBM Auto Limited    "
"Auto Ancillaries","Talbros Automotive Components Limited   ","Talbros Automotive Components Limited    "
"Auto Ancillaries","Alicon Castalloy Limited   ","Alicon Castalloy Limited    "
"Auto Ancillaries","Sundaram Brake Linings Limited   ","Sundaram Brake Linings Limited    "
"Auto Ancillaries","IP Rings Limited   ","IP Rings Limited    "
"Auto Ancillaries","Harita Seating Systems Limited   ","Harita Seating Systems Limited    "
"Auto Ancillaries","Bharat Gears Limited   ","Bharat Gears Limited    "
"Auto Ancillaries","ANG Industries Limited   ","ANG Industries Limited    "
"Auto Ancillaries","Lumax Automotive Systems Limited   ","Lumax Automotive Systems Limited    "
"Auto Ancillaries","PAE Limited   ","PAE Limited    "
"Auto Ancillaries","Autolite (India) Limited   ","Autolite (India) Limited    "
"Auto Ancillaries","Remsons Industries Limited   ","Remsons Industries Limited    "
"Automobiles","Tata Motors Limited   ","Tata Motors Limited    "
"Automobiles","Mahindra & Mahindra Limited   ","Mahindra & Mahindra Limited    "
"Automobiles","Bajaj Auto Limited   ","Bajaj Auto Limited    "
"Automobiles","Maruti Suzuki India Limited   ","Maruti Suzuki India Limited    "
"Automobiles","Hero Honda Motors Limited   ","Hero Honda Motors Limited    "
"Automobiles","Ashok Leyland Limited   ","Ashok Leyland Limited    "
"Automobiles","HMT Limited   ","HMT Limited    "
"Automobiles","Eicher Motors Limited   ","Eicher Motors Limited    "
"Automobiles","TVS Motor Company Limited   ","TVS Motor Company Limited    "
"Automobiles","Escorts Limited   ","Escorts Limited    "
"Automobiles","SML ISUZU Limited   ","SML ISUZU Limited    "
"Automobiles","Maharashtra Scooters Limited   ","Maharashtra Scooters Limited    "
"Automobiles","Hindustan Motors Limited   ","Hindustan Motors Limited    "
"Automobiles","LML Limited   ","LML Limited    "
"Automobiles","Kinetic Motor Company Limited   ","Kinetic Motor Company Limited    "
"Banks","State Bank of India ","State Bank of India  "
"Banks","ICICI Bank Limited   ","ICICI Bank Limited    "
"Banks","HDFC Bank Limited   ","HDFC Bank Limited    "
"Banks","Axis Bank Limited   ","Axis Bank Limited    "
"Banks","Punjab National Bank ","Punjab National Bank  "
"Banks","Bank of Baroda ","Bank of Baroda  "
"Banks","Kotak Mahindra Bank Limited   ","Kotak Mahindra Bank Limited    "
