,"NSE_SYMBOL","TWS_SYMBOL","TABLE_NAME","COMPANY_NAME","YAHOO_NAME","SYMBOL","FACE_VALUE"
90,"HDFCBANK ","HDFCB","HDFCBANK ","HDFC Bank Limited ","HDFCBANK.NS","HDFCBANK",10
91,"HDIL ","HDIL","HDIL ","Housing Development and Infrastructure Limited ","HDIL.NS","HDIL",10
92,"HEROHONDA ","HH","HEROHONDA ","Hero Honda Motors Limited ","HEROHONDA.NS","HEROHONDA",2
93,"HEXAWARE ","HEXW","HEXAWARE ","Hexaware Technologies Limited ","HEXAWARE.NS","HEXAWARE",2
94,"HINDALCO ","HNDL","HINDALCO ","Hindalco Industries Limited ","HINDALCO.NS","HINDALCO",1
95,"HINDOILEXP ","HOE","HINDOILEXP ","Hindustan Oil Exploration Company Limited ","HINDOILEX.NS","HINDOILEXP",10
96,"HINDPETRO ","HPCL","HINDPETRO ","Hindustan Petroleum Corporation Limited ","HINDPETRO.NS","HINDPETRO",10
97,"HINDUNILVR ","HUVR","HINDUNILVR ","Hindustan Unilever Limited ","HINDUNILV.NS","HINDUNILVR",1
98,"HINDZINC ","HZ","HINDZINC ","Hindustan Zinc Limited ","HINDZINC.NS","HINDZINC",2
99,"HOTELEELA ","LELA","HOTELEELA ","Hotel Leela Venture Limited ","HOTELEELA.NS","HOTELEELA",2
100,"IBREALEST ","IBREL","IBREALEST ","Indiabulls Real Estate Limited ","IBREALEST.NS","IBREALEST",2
101,"ICICIBANK ","ICICIBC","ICICIBANK ","ICICI Bank Limited ","ICICIBANK.NS","ICICIBANK",10
102,"IDBI ","IDBI","IDBI ","IDBI Bank Limited ","IDBI.NS","IDBI",10
103,"IDEA ","IDEA","IDEA ","Idea Cellular Limited ","IDEA.NS","IDEA",10
104,"IDFC ","IDFC","IDFC ","Infrastructure Development Finance Company Limited ","IDFC.NS","IDFC",10
105,"IFCI ","IFCI","IFCI ","IFCI Limited ","IFCI.NS","IFCI",10
106,"IGL ","IGL","IGL ","Indraprastha Gas Limited ","IGL.NS","IGL",10
107,"INDHOTEL ","IH","INDHOTEL ","The Indian Hotels Company Limited ","INDHOTEL.NS","INDHOTEL",1
108,"INDIACEM ","ICEM","INDIACEM ","The India Cements Limited ","INDIACEM.NS","INDIACEM",10
109,"INDIAINFO ","IIFL","INDIAINFO ","India Infoline Limited ","INDIAINFO.NS","INDIAINFO",2
110,"INDIANB ","INBK","INDIANB ","Indian Bank ","INDIANB.NS","INDIANB",10
111,"INDUSINDBK ","IIB","INDUSINDBK ","IndusInd Bank Limited ","INDUSINDB.NS","INDUSINDBK",10
112,"INFOSYSTCH ","INFO","INFOSYSTCH ","Infosys Technologies Limited ","INFOSYSTC.NS",,10
113,"IOB ","IOB","IOB ","Indian Overseas Bank ","IOB.NS","IOB",10
114,"IOC ","IOCL","IOC ","Indian Oil Corporation Limited ","IOC.NS","IOC",10
115,"IRB ","IRB","IRB ","IRB Infrastructure Developers Limited ","IRB.NS","IRB",10
116,"ISPATIND ","NDEN","ISPATIND ","Ispat Industries Limited ","ISPATIND.NS","ISPATIND",10
117,"ITC ","ITC","ITC ","ITC Limited ","ITC.NS","ITC",1
118,"IVRCLINFRA ","IVRC","IVRCLINFRA ","IVRCL Infrastructures & Projects Limited ","IVRCLINFR.NS","IVRCLINFRA",2
119,"JETAIRWAYS ","JETIN","JETAIRWAYS ","Jet Airways (India) Limited ","JETAIRWAY.NS","JETAIRWAYS",10
120,"JINDALSAW ","JSAW","JINDALSAW ","Jindal Saw Limited ","JINDALSAW.NS","JINDALSAW",2
121,"JINDALSTEL ","JSP","JINDALSTEL ","Jindal Steel & Power Limited ","JINDALSTE.NS","JINDALSTEL",1
122,"JINDALSWHL ","SWH","JINDALSWHL ","Jindal South West Holdings Limited ","JINDALSWH.NS","JINDALSWHL",10
123,"JISLJALEQS ","JI","JISLJALEQS ","Jain Irrigation Systems Limited ","JISLJALEQ.NS","JISLJALEQS",2
124,"JPASSOCIAT ","JPA","JPASSOCIAT ","Jaiprakash Associates Limited ","JPASSOCIA.NS","JPASSOCIAT",2
125,"JPPOWER ","JHPL","JPPOWER ","Jaiprakash Power Ventures Limited ","JPPOWER.NS","JPPOWER",10
126,"JSWSTEEL ","JSTL","JSWSTEEL ","JSW Steel Limited ","JSWSTEEL.NS","JSWSTEEL",10
127,"KFA ","KAIR","KFA ","Kingfisher Airlines Limited ","KFA.NS","KFA",10
128,"KOTAKBANK ","KMB","KOTAKBANK ","Kotak Mahindra Bank Limited ","KOTAKBANK.NS","KOTAKBANK",5
129,"KSOILS ","KSO","KSOILS ","K S Oils Limited ","KSOILS.NS","KSOILS",1
130,"KTKBANK ","KBL","KTKBANK ","The Karnataka Bank Limited ","KTKBANK.NS","KTKBANK",10
131,"LICHSGFIN ","LICHF","LICHSGFIN ","LIC Housing Finance Limited ","LICHSGFIN.NS","LICHSGFIN",2
132,"LITL ","LANCI","LITL ","Lanco Infratech Limited ","LITL.NS","LITL",1
133,"LT ","LT","LT ","Larsen & Toubro Limited ","LT.NS","LT",2
134,"LUPIN ","LPC","LUPIN ","Lupin Limited ","LUPIN.NS","LUPIN",2
135,"M&M ","MM","MANDM ","Mahindra & Mahindra Limited ","M&M.NS","M&M",5
136,"MARUTI ","MSIL","MARUTI ","Maruti Suzuki India Limited ","MARUTI.NS","MARUTI",5
137,"MAX ","MAX","MAX ","Max India Limited ","MAX.NS","MAX",2
138,"MCDOWELL-N ","MACH","MCDOWELLN ","United Spirits Limited ","MCDOWELL-.NS","MCDOWELL-N",10
139,"MCLEODRUSS ","MCLR","MCLEODRUSS ","Mcleod Russel India Limited ","MCLEODRUS.NS","MCLEODRUSS",5
140,"MLL ","MRLN","MLL ","Mercator Lines Limited ","MLL.NS","MLL",1
141,"MOSERBAER ","MBI","MOSERBAER ","Moser-Baer (I) Limited ","MOSERBAER.NS","MOSERBAER",10
142,"MPHASIS ","MPHL","MPHASIS ","MphasiS Limited ","MPHASIS.NS","MPHASIS",10
143,"MRF ","MRF","MRF ","MRF Limited ","MRF.NS","MRF",10
144,"MRPL ","MRPL","MRPL ","Mangalore Refinery and Petrochemicals Limited ","MRPL.NS","MRPL",10
145,"MTNL ","MTNL","MTNL ","Mahanagar Telephone Nigam Limited ","MTNL.NS","MTNL",10
146,"MUNDRAPORT ",,"MUNDRAPORT ","Mundra Port and Special Economic Zone Limited ",,"MUNDRAPORT",2
147,"NAGARFERT ","NFCL","NAGARFERT ","Nagarjuna Fertilizer & Chemicals Limited ","NAGARFERT.NS","NAGARFERT",10
148,"NATIONALUM ","NLC","NATIONALUM ","National Aluminium Company Limited ","NATIONALU.NS","NATIONALUM",5
149,"NCC ","NHPC","NCC ","NCC Limited ","NA","NCC",2
