"SYMBOL","EX_DATE","DIVIDEND"
"BRFL","2009-09-17","1.5"
"BRFL","2010-09-14","1.5"
"BRFL","2008-09-18","1.5"
"CANBK","2009-07-08","8"
"CANBK","2010-06-14","10"
"CANBK","2005-07-26","3"
"CANBK","2006-06-14","6.6"
"CANBK","2007-06-26","7"
"CANBK","2008-06-10","8"
"CENTRALBK","2010-07-08","1.2"
"CENTRALBK","2008-07-22","2"
"CENTRALBK","2009-07-27","2"
"CENTURYTEX","2009-07-10","4.5"
"CENTURYTEX","2010-07-12","5.5"
"CENTURYTEX","2005-07-05","2.5"
"CENTURYTEX","2006-06-20","3"
"CENTURYTEX","2007-03-20","3.75"
"CENTURYTEX","2008-07-07","4.5"
"CESC","2009-07-09","4"
"CESC","2010-07-08","4"
"CESC","2005-07-14","2.5"
"CESC","2006-07-06","2.5"
"CESC","2007-07-12","3.5"
"CESC","2008-07-17","4"
"CHAMBLFERT","2009-07-31","1.8"
"CHAMBLFERT","2010-07-30","1.9"
"CHAMBLFERT","2008-07-30","1.8"
"CHAMBLFERT","2006-07-17","1.8"
"CHAMBLFERT","2005-09-29","1.8"
"CHAMBLFERT","2007-07-16","1.8"
"CHENNPETRO","2010-08-20","12"
"CHENNPETRO","2008-08-22","12"
"CHENNPETRO","2005-08-11","12"
"CHENNPETRO","2007-08-24","12"
"CHENNPETRO","2008-05-29","5"
"CHENNPETRO","2006-08-16","9"
"CIPLA","2010-09-03","0.8"
"CIPLA","2007-08-08","2"
"CIPLA","2006-08-18","2"
"CIPLA","2009-08-10","2"
"CIPLA","2010-07-23","2"
"CIPLA","2008-08-12","2"
"CIPLA","2005-08-19","3.5"
"COLPAL","2010-12-14","5"
"COLPAL","2008-07-08","7"
"COLPAL","2011-03-30","7"
"COLPAL","2011-06-13","8"
"COLPAL","2008-12-12","9"
"COLPAL","2010-08-17","10"
"CONCOR","2008-08-12","7.5"
"CONCOR","2011-01-28","7.5"
"CONCOR","2008-02-14","11"
"CONCOR","2007-08-08","11"
"CONCOR","2007-01-31","11"
"CONCOR","2009-02-09","6"
"CONCOR","2006-08-16","8"
"CONCOR","2005-09-14","8.5"
"COREPROTEC","2010-09-23","0.6"
"COREPROTEC","2009-09-17","0.6"
"COREPROTEC","2008-07-24","0.2"
"COREPROTEC","2007-06-06","0.1"
"CROMPGREAV","2011-03-28","0.6"
"CROMPGREAV","2008-02-04","0.8"
"CROMPGREAV","2010-10-29","0.8"
"CROMPGREAV","2009-10-30","0.8"
"CROMPGREAV","2011-02-03","0.8"
"CROMPGREAV","2010-02-04","1.4"
"CROMPGREAV","2006-10-26","0.4"
"CROMPGREAV","2007-11-02","0.4"
"CROMPGREAV","2008-04-03","0.4"
"CROMPGREAV","2007-02-01","0.5"
"CROMPGREAV","2007-03-23","0.5"
"CROMPGREAV","2009-03-30","0.5"
"CROMPGREAV","2008-10-27","0.7"
"CROMPGREAV","2009-01-29","0.8"
"CUMMINSIND","2008-02-14","2"
"CUMMINSIND","2009-07-23","2.6"
"CUMMINSIND","2010-08-05","6"
"CUMMINSIND","2011-02-10","7"
"CUMMINSIND","2005-07-15","2"
"CUMMINSIND","2007-07-19","2"
"CUMMINSIND","2006-07-17","2"
"CUMMINSIND","2007-02-08","2"
"CUMMINSIND","2008-12-15","2.4"
"CUMMINSIND","2008-07-17","2.6"
"CUMMINSIND","2009-02-03","4"
"DABUR","2010-11-02","0.5"
"DABUR","2011-06-29","0.65"
"DABUR","2009-10-30","0.75"
"DABUR","2009-06-29","1"
"DABUR","2010-08-03","1.25"
"DABUR","2006-06-21","1"
"DABUR","2006-11-03","1"
"DABUR","2005-06-29","1.5"
"DABUR","2008-06-19","0.75"
"DABUR","2007-10-29","0.75"
"DABUR","2009-02-02","0.75"
"DABUR","2007-03-16","0.75"
"DCHL","2005-09-23","0.2"
"DCHL","2006-08-04","0.2"
"DCHL","2008-09-11","2"
"DCHL","2008-12-22","2"
"DCHL","2007-08-13","1"
"DCHL","2007-02-01","1"
"DENABANK","2009-07-02","1.2"
"DENABANK","2010-07-07","2"
