"SYMBOL","PURPOSE","VALUE","EX_DATE"
"ASIANPAINT","AGM/DIV-RS.11/- PER SHARE","11","2009-06-17"
"ASIANPAINT","ANNUAL GENERAL MEETING AND DIVIDEND RS.18.50 PER SHARE","18.5","2010-06-30"
"ASIANPAINT","ANNUAL GENERAL MEETING AND DIVIDEND RS.23.50 PER SHARE","23.5","2011-06-09"
"ASIANPAINT","AGM/DIVIDEND - 10%","10.00%","2007-06-13"
"ASIANPAINT","AGM/DIVIDEND - 105%","105.00%","2008-06-12"
"ASIANPAINT","AGM/FINAL DIVIDEND-55%","55.00%","2005-06-22"
"ASIANPAINT","INTERIM DIVIDEND-55%     PURPOSE REVISED","55.00%","2006-11-03"
"ASIANPAINT","INTERIM DIVIDEND - 65%   PURPOSE REVISED","65.00%","2008-10-29"
"ASIANPAINT","AGM/DIV FIN-55% + SPL-25%","80.00%","2006-06-15"
"AUROPHARMA","AGM/DIV-RS.1.50 PER SHARE","1.5","2009-12-16"
"AUROPHARMA","ANNUAL GENERAL MEETING AND DIVIDEND RS.2/- PER SHARE","2","2010-09-13"
"AUROPHARMA","INTERIM DIVIDEND - RS 5 PER SHARE","5","2010-11-11"
"AUROPHARMA","AGM/DIVIDEND-10%","10.00%","2005-09-20"
"AUROPHARMA","AGM/DIVIDEND-30%","30.00%","2006-09-08"
"AUROPHARMA","AGM/DIVIDEND-50%","50.00%","2007-09-14"
"AUROPHARMA","INTERIM DIVIDEND - 60%   PURPOSE REVISED","60.00%","2009-02-05"
"AUROPHARMA","AGM/DIVIDEND - 65%","65.00%","2008-08-11"
"AXISBANK","AGM/DIV-RS.12/- PER SHARE","12","2010-05-20"
"AXISBANK","ANNUAL GENERAL MEETING AND DIVIDEND RS.14/- PER SHARE","14","2011-06-08"
"AXISBANK","AGM/DIVIDEND - 100%","100.00%","2009-05-14"
"AXISBANK","AGM/DIVIDEND-35%","35.00%","2006-05-16"
"AXISBANK","AGM/DIVIDEND-45%","45.00%","2007-05-17"
"AXISBANK","AGM/DIVIDEND - 60%","60.00%","2008-05-22"
"BAJAJ-AUTO","AGM/DIV.RS.22/-PER SHARE","22","2009-07-02"
"BAJAJ-AUTO","ANNUAL GENERAL MEETING / DIVIDEND RS.40/- PER SHARE","40","2010-07-08"
"BAJAJ-AUTO","ANNUAL GENERAL MEETING AND DIVIDEND RS.40/- PER SHARE","40","2011-06-29"
"BAJAJ-AUTO","AGM/DIVIDEND - 200%","200.00%","2008-06-27"
"BAJAJHIND","ANNUAL GENERAL MEETING AND DIVIDEND OF RE. 0.70 PER SHARE.","0.7","2011-03-10"
"BAJAJHIND","AGM/DIV-RE.0.70 PER SHARE","0.7","2010-03-11"
"BAJAJHIND","AGM/DIVIDEND-50%","50.00%","2006-03-16"
"BAJAJHIND","AGM/DIVIDEND - 60%","60.00%","2009-03-12"
"BAJAJHIND","AGM/DIVIDEND - 60%","60.00%","2008-02-14"
"BAJAJHIND","AGM/DIVIDEND-60%","60.00%","2007-03-15"
"BAJAJHLDNG","AGM/DIV.-RS.10/-PER SHARE","1","2009-07-02"
"BAJAJHLDNG","AGM/DIV - RS.25/- PER SH","25","2005-06-29"
