INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,ASIANPAINT,28-Jul-2011,0,XX,0,0,0,2752.4,2962.25,0,0,0,0,20-MAY-2011,
FUTSTK,AUROPHARMA,26-May-2011,0,XX,192.3,194.85,192.3,193.6,193.6,617,1494.08,3530000,-272500,20-MAY-2011,
FUTSTK,AUROPHARMA,30-Jun-2011,0,XX,194.4,195.8,194.15,195.1,195.1,419,1022.06,620000,487500,20-MAY-2011,
FUTSTK,AUROPHARMA,28-Jul-2011,0,XX,0,0,0,200.6,196.9,0,0,0,0,20-MAY-2011,
FUTSTK,AXISBANK,26-May-2011,0,XX,1220.05,1233,1210,1222.75,1222.75,7386,22587.13,3298250,-126500,20-MAY-2011,
FUTSTK,AXISBANK,30-Jun-2011,0,XX,1214.25,1226.55,1204.8,1217.3,1217.3,1649,5016.75,865250,216250,20-MAY-2011,
FUTSTK,AXISBANK,28-Jul-2011,0,XX,1226,1241.7,1215.1,1228.4,1228.4,6,18.4,1000,750,20-MAY-2011,
FUTSTK,BAJAJ-AUTO,26-May-2011,0,XX,1304.9,1335,1296.55,1330.3,1330.3,4232,13949.65,1207250,-139750,20-MAY-2011,
FUTSTK,BAJAJ-AUTO,30-Jun-2011,0,XX,1278.95,1307.15,1271.45,1303.05,1303.05,1899,6124.41,911500,321250,20-MAY-2011,
FUTSTK,BAJAJ-AUTO,28-Jul-2011,0,XX,1274.7,1310,1274.7,1306.9,1306.9,143,462.12,193750,26000,20-MAY-2011,
FUTSTK,BAJAJHIND,26-May-2011,0,XX,66.65,68.45,66,67.15,67.15,985,1328.2,8482000,-452000,20-MAY-2011,
FUTSTK,BAJAJHIND,30-Jun-2011,0,XX,67.1,69,66.65,67.6,67.6,553,753.34,1738000,720000,20-MAY-2011,
FUTSTK,BAJAJHIND,28-Jul-2011,0,XX,69.45,69.45,68.45,68.45,68.45,6,16.57,32000,24000,20-MAY-2011,
FUTSTK,BAJAJHLDNG,26-May-2011,0,XX,761.1,770.8,759.25,766.7,766.7,41,78.33,86000,-1250,20-MAY-2011,
FUTSTK,BAJAJHLDNG,30-Jun-2011,0,XX,735,740.95,733.05,739.5,739.5,15,27.63,18500,2500,20-MAY-2011,
FUTSTK,BAJAJHLDNG,28-Jul-2011,0,XX,0,0,0,821.35,776.75,0,0,0,0,20-MAY-2011,
FUTSTK,BALRAMCHIN,26-May-2011,0,XX,62.65,63.95,62.65,63.25,63.25,654,1656.16,16696000,-644000,20-MAY-2011,
FUTSTK,BALRAMCHIN,30-Jun-2011,0,XX,63.65,64.4,63.35,63.7,63.7,263,669.87,1792000,744000,20-MAY-2011,
FUTSTK,BALRAMCHIN,28-Jul-2011,0,XX,0,0,0,64.45,64.25,0,0,92000,0,20-MAY-2011,
FUTSTK,BANKBARODA,26-May-2011,0,XX,839.55,854.35,835.2,841.4,841.4,1699,3580.63,1407500,-46000,20-MAY-2011,
FUTSTK,BANKBARODA,30-Jun-2011,0,XX,828.85,842,826.25,829.75,829.75,267,555.82,232000,35250,20-MAY-2011,
FUTSTK,BANKBARODA,28-Jul-2011,0,XX,835,835.8,835,835.8,852.95,2,4.17,5250,250,20-MAY-2011,
FUTSTK,BANKINDIA,26-May-2011,0,XX,404.85,415.85,403.05,411.7,411.7,1891,3891.44,1438000,-129000,20-MAY-2011,
FUTSTK,BANKINDIA,30-Jun-2011,0,XX,404.3,416.45,404.3,412.5,412.5,231,476.29,196500,43500,20-MAY-2011,
FUTSTK,BANKINDIA,28-Jul-2011,0,XX,0,0,0,402.85,420.15,0,0,5000,0,20-MAY-2011,
FUTSTK,BATAINDIA,26-May-2011,0,XX,455.2,461.25,450,456.8,456.8,723,3293,688000,-41000,20-MAY-2011,
FUTSTK,BATAINDIA,30-Jun-2011,0,XX,454,457,449.35,454.25,454.25,62,281.17,104000,19000,20-MAY-2011,
FUTSTK,BATAINDIA,28-Jul-2011,0,XX,0,0,0,430.7,464.35,0,0,0,0,20-MAY-2011,
FUTSTK,BEL,26-May-2011,0,XX,1710,1733.45,1710,1729.2,1729.2,134,289.45,42625,10125,20-MAY-2011,
FUTSTK,BEL,30-Jun-2011,0,XX,1739,1739,1730.05,1738.2,1738.2,14,30.38,1875,1625,20-MAY-2011,
FUTSTK,BEL,28-Jul-2011,0,XX,0,0,0,1871,1751.6,0,0,0,0,20-MAY-2011,
FUTSTK,BEML,26-May-2011,0,XX,641.65,649.5,637,645.1,645.1,63,101.72,210000,-6000,20-MAY-2011,
